"","Rat","LogValue","w_final_1_1","z_final_1_1","w_final_1_11","z_final_1_11","w_final_1_18","z_final_1_18"
"1",4,1.982108832209,7.25803283104298,NA,NA,NA,NA,NA
"2",4,1.27993379916235,NA,3.59640163288778,NA,NA,NA,NA
"3",4,2.89534647234734,NA,NA,18.0897679599753,NA,NA,NA
"4",4,0.0210183945691501,NA,NA,NA,1.02124083674995,NA,NA
"5",4,2.79452342631304,NA,NA,NA,NA,16.3548326127092,NA
"6",4,0.107831662824125,NA,NA,NA,NA,NA,1.11386022551894
"7",5,2.7561117477945,15.7385284544268,NA,NA,NA,NA,NA
"8",5,0.64897918671092,NA,1.91358641719436,NA,NA,NA,NA
"9",5,4.3704038903945,NA,NA,79.0755631111154,NA,NA,NA
"10",5,-1.70996856456408,NA,NA,NA,0.180871478301522,NA,NA
"11",5,4.66198350837193,NA,NA,NA,NA,105.845820149763,NA
"12",5,-2.19085383528037,NA,NA,NA,NA,NA,0.111821230932882
"13",8,2.3086280229335,10.0606122527449,NA,NA,NA,NA,NA
"14",8,1.21116094543222,NA,3.35738012601698,NA,NA,NA,NA
"15",8,3.1927643299347,NA,NA,24.3556615559635,NA,NA,NA
"16",8,-0.627388077634305,NA,NA,NA,0.533984707733966,NA,NA
"17",8,3.37861185902459,NA,NA,NA,NA,29.3300286271273,NA
"18",8,-0.555633388084935,NA,NA,NA,NA,NA,0.573708765795283
"19",9,2.078232981665,7.9903373599976,NA,NA,NA,NA,NA
"20",9,0.5094581639914,NA,1.66438912462082,NA,NA,NA,NA
"21",9,3.21600669972917,NA,NA,24.9283746716736,NA,NA,NA
"22",9,-1.48322068448415,NA,NA,NA,0.226905718567458,NA,NA
"23",9,3.25555406665536,NA,NA,NA,NA,25.9339797073963,NA
"24",9,-1.75484028037445,NA,NA,NA,NA,NA,0.17293486117729
"25",10,1.9225258132807,6.83820871305599,NA,NA,NA,NA,NA
"26",10,1.0992846104186,NA,3.00201764342825,NA,NA,NA,NA
"27",10,2.37878041587532,NA,NA,10.7917334081916,NA,NA,NA
"28",10,-0.4521155172698,NA,NA,NA,0.636280664074442,NA,NA
"29",10,2.56311109198794,NA,NA,NA,NA,12.9761245003201,NA
"30",10,0.0030386784366049,NA,NA,NA,NA,NA,1.00304329989979
"31",13,2.1737382773742,8.79108620940955,NA,NA,NA,NA,NA
"32",13,0.408768201319605,NA,1.50496283165272,NA,NA,NA,NA
"33",13,4.0752682945742,NA,NA,58.8662719712548,NA,NA,NA
"34",13,-1.50195440545084,NA,NA,NA,0.222694499214914,NA,NA
"35",13,4.01938346346449,NA,NA,NA,NA,55.666774644287,NA
"36",13,-1.69416627347853,NA,NA,NA,NA,NA,0.18375236440192
"37",14,2.7128442118865,15.0720828065866,NA,NA,NA,NA,NA
"38",14,-0.94575827919434,NA,0.38838495498455,NA,NA,NA,NA
"39",14,4.5088299350365,NA,NA,90.8154962903551,NA,NA,NA
"40",14,-3.25043977032384,NA,NA,NA,0.0387571598346635,NA,NA
"41",14,4.63552709905583,NA,NA,NA,NA,103.082238228343,NA
"42",14,-2.85457528428182,NA,NA,NA,NA,NA,0.0575802711745863
"43",15,2.31552032982,10.1301925889275,NA,NA,NA,NA,NA
"44",15,-1.00351569985228,NA,0.366588358334158,NA,NA,NA,NA
"45",15,4.37423397942,NA,NA,79.3790103014958,NA,NA,NA
"46",15,-3.06545839946538,NA,NA,NA,0.0466324606692419,NA,NA
"47",15,4.54453993558016,NA,NA,NA,NA,94.117117310526,NA
"48",15,-3.17598190435952,NA,NA,NA,NA,NA,0.0417530864129277
