"","w_delta11_mu","z_delta11_mu","w_delta18_mu","z_delta18_mu"
"1",1.34118,-1.97086,0.172255,-0.0862631
"2",1.03979,-1.33767,0.188808,-0.0845864
"3",1.10467,-1.84411,-0.315784,0.677871
"4",1.25185,-1.08793,-0.236245,0.411231
"5",1.47256,-2.71407,-0.00236927,0.468343
"6",1.3716,-2.22654,-0.0996093,0.359699
"7",1.13636,-1.88756,-0.143166,-0.098221
"8",0.321871,-0.963855,0.547816,-0.456618
"9",1.74202,-1.88099,0.449913,-0.498782
"10",0.900879,-1.09263,0.0107122,-0.131513
"11",1.94601,-2.34529,-0.306858,0.461836
"12",1.33862,-2.2779,0.0897224,-0.36809
"13",1.85435,-3.25536,-0.0792018,0.042082
"14",1.85299,-3.04387,-0.0266731,-0.0443351
"15",1.64799,-2.62693,-0.123449,0.0269593
"16",0.575206,-0.538081,0.501247,-0.235939
"17",0.578492,-0.57629,0.513057,-0.243925
"18",0.776829,-0.909823,0.352907,-0.219644
"19",0.784983,-1.34695,-0.0673294,0.792979
"20",1.11702,-1.0823,0.653218,1.02265
"21",1.94134,-2.31434,0.158929,-0.475757
"22",1.87128,-2.23574,0.602554,-0.756889
"23",0.302018,-0.892186,0.187934,0.100416
"24",0.461677,-1.51449,0.391865,0.202997
"25",0.385691,-1.3803,0.521347,0.707854
"26",1.26798,-2.88146,-0.358692,0.187489
"27",1.09744,-1.19952,-0.0854084,0.518157
"28",1.38158,-1.28978,-0.207418,0.742962
"29",1.45854,-1.39429,0.0678883,0.573346
"30",1.01403,-1.6598,0.0654541,0.479769
"31",1.33642,-1.84669,-0.0878694,0.141058
"32",1.26894,-1.68381,-0.213127,0.601541
"33",0.987897,-2.05882,0.0811288,0.0344603
"34",0.981892,-1.20923,-0.0386519,0.311127
"35",0.911492,-1.38531,-0.0728505,0.101024
"36",0.863897,-1.37512,-0.0337158,-0.0187737
"37",1.37053,-2.29004,-0.0234986,0.144971
"38",1.70414,-1.94449,-0.269253,0.504149
"39",1.15701,-2.44339,0.141101,0.152171
"40",1.28283,-2.09311,-0.12406,0.18517
"41",1.28993,-1.03773,-0.132527,0.104134
"42",1.09948,-0.803121,0.0697186,-0.026139
"43",1.30986,-1.79516,0.0501765,0.119173
"44",1.3862,-1.83528,-0.0928801,0.0372487
"45",0.509937,-1.2661,-0.031971,0.0558734
"46",1.46113,-1.40344,-0.0581044,0.118443
"47",1.37194,-2.25593,0.0644424,-0.119374
"48",1.3904,-1.40618,-0.141889,0.574837
"49",0.622235,-0.46007,0.297057,-0.299856
"50",0.771752,-1.32976,0.277573,-0.164963
"51",1.51946,-1.2108,-0.0589301,0.197321
"52",1.10932,-1.75178,0.405011,-0.258213
"53",1.11618,-1.32968,0.407728,-0.0599926
"54",1.11108,-1.36201,0.167366,-0.480706
"55",0.921923,-2.13264,0.0604496,0.382449
"56",1.00577,-1.79434,0.107298,-0.595642
"57",0.9933,-0.723789,0.565886,-0.394718
"58",1.08831,-1.624,0.43996,-0.366653
"59",1.62002,-2.52721,-0.229032,0.199889
"60",1.14168,-1.79798,0.0572664,0.206837
"61",1.60136,-2.10752,0.12761,0.0761019
"62",0.778529,-1.2735,0.163289,0.12266
"63",1.58643,-1.88371,-0.0442301,0.450801
"64",1.69215,-3.12598,0.249457,-0.202042
"65",2.19883,-3.29828,-0.000807876,0.178204
"66",0.978428,-1.08512,0.208761,0.0484541
"67",1.51653,-1.86468,0.26849,-0.263004
"68",1.7743,-3.05588,0.0907737,0.138764
"69",0.24293,-1.09264,0.180161,0.408362
"70",1.00825,-0.78934,0.0222106,0.319971
"71",1.55916,-2.02714,-0.272163,0.900573
"72",0.5648,0.158496,-0.446702,-0.426695
"73",1.31585,-1.09751,0.525385,0.781435
"74",1.15928,-1.12354,-0.57146,0.0441729
"75",0.393593,-1.02976,0.294933,0.497797
"76",1.22706,-1.43102,0.444816,0.0429748
"77",0.401605,-0.508863,-0.134073,-0.394123
"78",0.814606,-1.78,0.698814,-0.2339
"79",1.15702,-1.69879,0.266217,0.0711844
"80",1.21168,-1.77822,0.268179,-0.670501
"81",1.42577,-2.05947,0.372084,0.0305243
"82",1.79309,-2.9338,0.294633,-0.241907
"83",1.37538,-1.94577,-0.0550799,0.0300915
"84",1.26991,-2.1479,-0.0599932,0.122446
"85",0.905163,-1.415,-0.0306463,0.0479753
"86",1.08334,-1.65044,0.0464702,0.01679
"87",1.21686,-1.87301,-0.144128,0.419134
"88",2.17036,-2.20466,-0.0188139,0.10735
"89",1.84929,-2.28344,0.11512,0.243195
"90",0.976623,-1.81086,0.274334,-0.335443
"91",1.40754,-1.98467,-0.154655,0.188597
"92",1.31599,-2.62446,0.030566,-0.0777822
"93",2.03625,-3.03307,-0.0997416,0.337668
"94",1.90354,-2.73968,-0.0600678,0.0769833
"95",1.65908,-2.40622,0.173273,-0.38451
"96",1.96225,-2.7812,0.148487,0.17729
"97",1.24627,-1.82384,-0.0957017,0.564309
"98",1.09824,-2.9219,0.0249651,0.508705
