"","Rat","CatLH","PR","Local.Rate_mu","Local.Rate_sigma","Bn_predictions_mu","Bn_predictions_sigma","RatLabel"
"1",4,1,3,0.3909776924,0.151656564286358,0.306094257576838,0,"Rat #4"
"2",4,1,6,0.4761574334,0.109988595958346,0.526441533538918,0,"Rat #4"
"3",4,1,9,0.5444507998,0.0913490004488711,0.649928882319928,0,"Rat #4"
"4",4,1,12,0.4734196538,0.0429027359334142,0.699623671197313,0,"Rat #4"
"5",4,1,15,0.5623388444,0.0784376245507365,0.703878199801056,0,"Rat #4"
"6",4,1,18,0.4815751788,0.0326585883620362,0.683813948792066,0,"Rat #4"
"7",4,1,21,0.7728469614,0.26221050962601,0.652388447705936,0,"Rat #4"
"8",4,1,24,0.5916081418,0.365205283824421,0.616809755832668,0,"Rat #4"
"9",4,1,27,0.511162449,0.10839209038704,0.580840185214829,0,"Rat #4"
"10",4,1,30,0.4722704108,0.139876940144211,0.546319705168897,0,"Rat #4"
"11",4,1,33,0.5370658396,0.0901778105624875,0.514055261527976,0,"Rat #4"
"12",4,1,36,0.5720579508,0.318827795024033,0.484313738162839,0,"Rat #4"
"13",4,1,39,0.5570307612,0.118600310761833,0.457089019753947,0,"Rat #4"
"14",4,1,42,0.5537864598,0.319162921985084,0.432244926691171,0,"Rat #4"
"15",4,1,45,0.6169598186,0.29510438324031,0.409590856482145,0,"Rat #4"
"16",4,1,48,0.4596297624,0.403909863384498,0.388921087959893,0,"Rat #4"
"17",4,1,51,0.3979188002,0.238783127926898,0.370034493417907,0,"Rat #4"
"18",4,1,54,0.52206459575,0.353490128597631,0.352743725615601,0,"Rat #4"
"19",4,1,57,0.25004700775,0.103436282365095,0.336878807176729,0,"Rat #4"
"20",4,1,60,0.229069709666667,0.105580588205208,0.322287808785198,0,"Rat #4"
"21",4,1,63,0.2969233795,0.0538225307868453,0.30883608106613,0,"Rat #4"
"22",4,1,66,0.408668731,NA,0.296404834714423,NA,"Rat #4"
"23",4,1,69,0.228544931,NA,0.284889493645974,NA,"Rat #4"
"24",4,11,3,1.1409479822,0.77692507371826,0.303649769780803,0,"Rat #4"
"25",4,11,6,0.8044457394,0.169629286652187,0.543203866575554,0,"Rat #4"
"26",4,11,9,0.6094128442,0.213373987571354,0.708885432543305,0,"Rat #4"
"27",4,11,12,1.0322628082,0.77168282033246,0.80911423741739,0,"Rat #4"
"28",4,11,15,0.794622152,0.351212526001568,0.859563588903119,0,"Rat #4"
"29",4,11,18,0.7608900402,0.27513310932166,0.875697841667598,0,"Rat #4"
"30",4,11,21,0.6220496486,0.224439202177086,0.869781634575072,0,"Rat #4"
"31",4,11,24,0.6356005632,0.0585244484216773,0.850533503298731,0,"Rat #4"
"32",4,11,27,0.9310061674,0.437606520704063,0.823778216085601,0,"Rat #4"
"33",4,11,30,0.6706965698,0.14015624837319,0.793258837901453,0,"Rat #4"
"34",4,11,33,0.7410943708,0.0951186491443217,0.761312779425068,0,"Rat #4"
"35",4,11,36,0.6973523606,0.144738331213037,0.729360360725387,0,"Rat #4"
"36",4,11,39,0.94625927,0.293890845942585,0.698235357856696,0,"Rat #4"
"37",4,11,42,0.7242640784,0.185064740612072,0.668401296490467,0,"Rat #4"
"38",4,11,45,0.5893624154,0.188223772143092,0.64009057563068,0,"Rat #4"
"39",4,11,48,0.739228151,0.189937626144709,0.613393175270797,0,"Rat #4"
"40",4,11,51,0.6400371886,0.112417136141101,0.588312955171328,0,"Rat #4"
"41",4,11,54,0.6286595106,0.140616954405198,0.564803267463074,0,"Rat #4"
"42",4,11,57,0.5840252922,0.265909067379572,0.542789394920941,0,"Rat #4"
"43",4,11,60,0.6449471914,0.292708999046054,0.522182597624998,0,"Rat #4"
"44",4,11,63,0.5841826702,0.176351959724539,0.502888809382639,0,"Rat #4"
"45",4,11,66,0.683527983,0.373824841252828,0.484813921045246,0,"Rat #4"
"46",4,11,69,0.554761183,0.505467828810818,0.467866888197753,0,"Rat #4"
"47",4,11,72,0.426550115,0.175782523813254,0.451961456410714,0,"Rat #4"
"48",4,11,75,0.34769108425,0.0845195949608259,0.437017014023956,0,"Rat #4"
"49",4,11,78,0.712318374,0.622042344797016,0.422958901050033,0,"Rat #4"
"50",4,11,81,0.365358593,NA,0.409718386069582,NA,"Rat #4"
"51",4,18,3,0.7924692108,0.476515649465092,0.303029733096391,0,"Rat #4"
"52",4,18,6,0.701519693,0.119805019557603,0.537580384910463,0,"Rat #4"
"53",4,18,9,0.6712219208,0.0512746395334534,0.694125714486201,0,"Rat #4"
"54",4,18,12,0.616599604,0.0456743225422146,0.783570763815311,0,"Rat #4"
"55",4,18,15,0.663805337,0.114352192399864,0.823868470348269,0,"Rat #4"
"56",4,18,18,1.167488107,0.4190309283035,0.831685403820665,0,"Rat #4"
"57",4,18,21,1.0785062098,0.508809686723917,0.819591042168032,0,"Rat #4"
"58",4,18,24,0.725314159,0.0921672732753984,0.79612559588947,0,"Rat #4"
"59",4,18,27,0.6324970202,0.140600243910273,0.766758220253956,0,"Rat #4"
"60",4,18,30,0.621114171,0.150295710210502,0.734860013150435,0,"Rat #4"
"61",4,18,33,0.9918670746,0.561095937312667,0.70244534420779,0,"Rat #4"
"62",4,18,36,0.6613587232,0.182875203946711,0.670676907583946,0,"Rat #4"
