"","name","medianDiff","lowerLim","upperLim"
"1","Qlogit_delta11_mu",8.499545,-3.1310355,21.202665
"2","Qlogit_delta18_mu",3.63552,-8.80018,18.18865
"3","sigma_delta11_mu",-0.0944,-0.25472255,0.06886299
"4","sigma_delta18_mu",0.0589352,-0.1002361,0.2232733
"5","t_delta11_mu",-7.973845,-21.030705,3.4678505
"6","t_delta18_mu",-3.518535,-17.917475,9.385576
"7","w_delta11_mu",1.260455,0.5417723,2.2759075
"8","w_delta18_mu",0.11181,-0.22620735,0.43408925
"9","z_delta11_mu",-1.712315,-3.573136,-0.57019365
"10","z_delta18_mu",-0.01826,-0.56193415,0.56668185
